Well Position	Cycle	Target Name	Rn	Delta Rn
F4	26	Target 1	-0.163	0.563
F4	27	Target 1	-0.16	0.562
F4	28	Target 1	-0.149	0.57
F4	29	Target 1	-0.145	0.57
F4	30	Target 1	-0.144	0.566
F4	31	Target 1	-0.157	0.55
F4	32	Target 1	-0.161	0.541
F4	33	Target 1	-0.167	0.532
F4	34	Target 1	-0.167	0.528
F4	35	Target 1	-0.158	0.533
F4	36	Target 1	-0.149	0.538
F4	37	Target 1	-0.148	0.535
F4	38	Target 1	-0.152	0.527
F4	39	Target 1	-0.152	0.523
F4	40	Target 1	-0.141	0.531
F5	1	Target 1	-0.792	0.023
F5	2	Target 1	-0.793	0.019
F5	3	Target 1	-0.806	0.004
F5	4	Target 1	-0.797	0.01
F5	5	Target 1	-0.787	0.018
F5	6	Target 1	-0.803	-0.001
F5	7	Target 1	-0.827	-0.028
F5	8	Target 1	-0.817	-0.021
F5	9	Target 1	-0.805	-0.012
F5	10	Target 1	-0.785	0.006
F5	11	Target 1	-0.777	0.011
F5	12	Target 1	-0.772	0.013
F5	13	Target 1	-0.765	0.017
F5	14	Target 1	-0.745	0.035
F5	15	Target 1	-0.697	0.08
F5	16	Target 1	-0.636	0.138
F5	17	Target 1	-0.549	0.223
F5	18	Target 1	-0.449	0.32
F5	19	Target 1	-0.351	0.415
F5	20	Target 1	-0.278	0.485
F5	21	Target 1	-0.236	0.525
F5	22	Target 1	-0.219	0.539
F5	23	Target 1	-0.204	0.551
F5	24	Target 1	-0.189	0.563
F5	25	Target 1	-0.181	0.569
F5	26	Target 1	-0.175	0.571
F5	27	Target 1	-0.173	0.571
F5	28	Target 1	-0.172	0.57
F5	29	Target 1	-0.171	0.568
F5	30	Target 1	-0.172	0.564
F5	31	Target 1	-0.173	0.56
F5	32	Target 1	-0.176	0.554
F5	33	Target 1	-0.183	0.545
F5	34	Target 1	-0.183	0.542
F5	35	Target 1	-0.178	0.544
F5	36	Target 1	-0.173	0.547
F5	37	Target 1	-0.175	0.542
F5	38	Target 1	-0.176	0.538
F5	39	Target 1	-0.173	0.538
F5	40	Target 1	-0.173	0.536
F6	1	Target 1	-0.848	-0.037
F6	2	Target 1	-0.843	-0.035
F6	3	Target 1	-0.821	-0.015
F6	4	Target 1	-0.797	0.007
